DescricaoObraServico,CodigoObraServico,NumeroContrato,NomeOrgao,CidadeSedeOrgao,TipoSituacaoObra,AndamentoObraServico,NomeCredor,TipoIntervencao,TipoSetorBeneficiario,TipoRegimeExecução,TipoObraServico,TipoAcaoEngenharia,TipoCategoriaObraServico,Latitude,Longitude,CidadeObra,Populacao,CodigoIBGE,DataColeta,ValorOriginalContrato,AnoInicioObra,ValorMedicoes,ValorReajustes,ValorAditado,ValorTotalContrato,DiasAditados,DiasParalisados,DiasOriginaisContrato,ValorSuprimido
CONTRATAÇÃO DE EMPRESA DO RAMO PERTINENTE PARA EXECUÇÃO DAS OBRAS DAS OBRAS DE MELHORIAS SANITÁRIAS DOMICILIARES EM 47 RESIDENCIAIS NO MUNICÍPIO DE LAGOA DE SALGADA/RN,408.001.2021,,PREFEITURA MUNICIPAL DE LAGOA SALGADA,LAGOA SALGADA,INICIADA,ATRASADO COM RELAÇÃO AO CRONOGRAMA,,CONSTRUÇÃO,RECURSOS HÍDRICOS E SANEAMENTO,EXECUÇÃO INDIRETA,SISTEMA DE ESGOTAMENTO SANITÁRIO,OBRA,SANEAMENTO BÁSICO,-6.12085,-35.48591,LAGOA SALGADA,7564,2406601,2021-07-30 10:33:33,,,432605.57,0,0,,0,0,,0
CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PAVIMENTAÇÃO EM PARELELEPÍPEDO DE DIVERSOS RUAS DO ILHA DO BOM JESUS: RUA PASTOR JOÃO GOMES E CALÇADAS EM TORNO DO SANTUÁRIO DE JESUS MISERICORDIOSO NO MUNICÍPIO DE AREIA BRANCA/RN.,336.001.2021,,PREFEITURA MUNICIPAL DE AREIA BRANCA,AREIA BRANCA,INICIADA,NÃO REGISTRADO,,CONSTRUÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-4.95375,-37.12273,AREIA BRANCA,25315,2401107,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
CONTRATAÇÃO DE UMA EMPRESA DE ENGENHARIA PARA EXECUÇÃO DE OBRA DE PAVIMENTAÇÃO A PARALELEPÍPEDO E DRENAGEM SUPERFICIAL DE DIVERSAS RUAS DO BAIRRO NOVO DO MUNICÍPIO DE ESPÍRITO SANTO/RN,373.001.2021,,PREFEITURA MUNICIPAL DE ESPIRITO SANTO,ESPÍRITO SANTO,CADASTRADA,NÃO REGISTRADO,,CONSTRUÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,VIA URBANA NÃO PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-6.33507,-35.31536,ESPÍRITO SANTO,10475,2403509,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
CONSTRUÇÃO DE UMA PRAÇA DE ALIMENTAÇÃO NO MUNICÍPIO DE CARNAUBAIS/RN,,,PREFEITURA MUNICIPAL DE CARNAUBAIS,CARNAUBAIS,PENDENTE DE ENVIO,NÃO REGISTRADO,,CONSTRUÇÃO,URBANIZAÇÃO E HABITAÇÃO,EXECUÇÃO INDIRETA,PRAÇA,OBRA,ESPORTE E LAZER,-5.33941,-36.83414,CARNAUBAIS,9762,2402501,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
CONSTRUÇÃO DE UMA PRAÇA DE ALIMENTAÇÃO NO MUNICÍPIO DE CARNAUBAIS/RN,,,PREFEITURA MUNICIPAL DE CARNAUBAIS,CARNAUBAIS,PENDENTE DE ENVIO,NÃO REGISTRADO,,CONSTRUÇÃO,URBANIZAÇÃO E HABITAÇÃO,EXECUÇÃO INDIRETA,PRAÇA,OBRA,ESPORTE E LAZER,-5.33941,-36.83414,CARNAUBAIS,9762,2402501,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
CONSTRUÇÃO DE UMA PRAÇA DE ALIMENTAÇÃO NO MUNICÍPIO DE CARNAUBAIS/RN,358.001.2021,,PREFEITURA MUNICIPAL DE CARNAUBAIS,CARNAUBAIS,CADASTRADA,NÃO REGISTRADO,,CONSTRUÇÃO,URBANIZAÇÃO E HABITAÇÃO,EXECUÇÃO INDIRETA,PRAÇA,OBRA,ESPORTE E LAZER,-5.33941,-36.83414,CARNAUBAIS,9762,2402501,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA DO RAMO DE ENGENHARIA CIVIL PARA CONSTRUÇÃO DE UMA CENTRAL DE COMERCIALIZAÇÃO DE ANIMAIS NO MUNICÍPIO DE SÃO RAFAEL/RN, CONFORME CONTRATO REPASSE Nº 801095/2014.",480.001.2021,,PREFEITURA MUNICIPAL DE SÃO RAFAEL,SÃO RAFAEL,CADASTRADA,NÃO REGISTRADO,,CONSTRUÇÃO,AGRICULTURA,EXECUÇÃO INDIRETA,INSTALAÇÃO,SERVIÇO DE ENGENHARIA,SERVIÇOS DE ENGENHARIA,-5.80778,-36.87667,SÃO RAFAEL,8111,2412807,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA CONSTRUÇÃO CIVIL, PARA A EXECUÇÃO DAS OBRAS REFERENTE QUADRA DE ESPORTE DO MUNICÍPIO DE JANDUÍS, NA COMUNIDADE DO LIVRAMENTO, ZONA RURAL DO MUNICÍPIO DE JANDUIS/RN",392.001.2021,,PREFEITURA MUNICIPAL DE JANDUIS,JANDUÍS,CADASTRADA,NÃO REGISTRADO,,CONSTRUÇÃO,EDUCAÇÃO,EXECUÇÃO DIRETA,QUADRA DE ESPORTE,OBRA,ESPORTE E LAZER,-6.01583,-37.40889,JANDUÍS,5345,2405207,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA CONSTRUÇÃO CIVIL, PARA A EXECUÇÃO DAS OBRAS REFERENTE QUADRA DE ESPORTE DO MUNICÍPIO DE JANDUÍS, NA COMUNIDADE DO LIVRAMENTO, ZONA RURAL DO MUNICÍPIO DE JANDUIS/RN",392.001.2021,,PREFEITURA MUNICIPAL DE JANDUIS,JANDUÍS,CADASTRADA,NÃO REGISTRADO,,CONSTRUÇÃO,EDUCAÇÃO,EXECUÇÃO DIRETA,QUADRA DE ESPORTE,OBRA,ESPORTE E LAZER,-6.01583,-37.40889,JANDUÍS,5345,2405207,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DAS OBRAS DE CONSTRUÇÃO DE MURO PARA AMPLIAÇÃO DO CEMITÉRIO EM RUY BARBOSA/RN.,447.010.2021,,PREFEITURA MUNICIPAL DE RUY BARBOSA,RUY BARBOSA,CADASTRADA,NÃO REGISTRADO,,AMPLIAÇÃO,LIMPEZA PÚBLICA,EXECUÇÃO DIRETA,CEMITÉRIO,OBRA,ASSISTÊNCIA SOCIAL,-5.87947,-35.9339,RUY BARBOSA,3595,2411106,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
CONTRATAÇÃO DE EMPRESAS PARA PAVIMENTAÇÃO EM DIVERSOS BAIRROS E RUAS DO MUNICÍPIO DE SÃO PAULO DO POTENGI - LOTE 01,479.002.2021,,PREFEITURA MUNICIPAL DE SÃO PAULO DO POTENGI,SÃO PAULO DO POTENGI,CADASTRADA,NÃO REGISTRADO,,PAVIMENTAÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-5.89521,-35.78324,SÃO PAULO DO POTENGI,15843,2412609,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
CONTRATAÇÃO DE EMPRESAS PARA PAVIMENTAÇÃO EM DIVERSOS BAIRROS E RUAS DO MUNICÍPIO DE SÃO PAULO DO POTENGI.,479.001.2021,,PREFEITURA MUNICIPAL DE SÃO PAULO DO POTENGI,SÃO PAULO DO POTENGI,CADASTRADA,NÃO REGISTRADO,,PAVIMENTAÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-5.89521,-35.78324,SÃO PAULO DO POTENGI,15843,2412609,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
CONTRATAÇÃO DE EMPRESAS PARA PAVIMENTAÇÃO EM DIVERSOS BAIRROS E RUAS DO MUNICÍPIO DE SÃO PAULO DO POTENGI.,479.003.2021,,PREFEITURA MUNICIPAL DE SÃO PAULO DO POTENGI,SÃO PAULO DO POTENGI,CADASTRADA,NÃO REGISTRADO,,PAVIMENTAÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-5.86717,-35.76431,SÃO PAULO DO POTENGI,15843,2412609,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
"EXECUÇÃO DE PAVIMENTAÇÃO EM PARALELEPÍPEDO CONVENCIONAL NA RUA PROJETADA Nº 06, NO CONJUNTO MONSENHOR XAVIER",406.002.2021,,PREFEITURA MUNICIPAL DE LAGOA DE PEDRAS,LAGOA DE PEDRAS,CADASTRADA,NÃO REGISTRADO,,PAVIMENTAÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO DIRETA,DRENAGEM URBANA,OBRA,SANEAMENTO BÁSICO,-6.15748,-35.43957,LAGOA DE PEDRAS,6989,2406304,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
"CONTRATAÇÃO DE EMPRESA DE ENGENHARIA PARA SERVIÇOS CONSTRUÇÃO DO CENTRO DE ESPECIALIADE ODONTOLÓGICA, NO MUNICIPIO DE MESSIAS TARGINO - RN",420.001.2021,,PREFEITURA MUNICIPAL DE MESSIAS TARGINO,MESSIAS TARGINO,CADASTRADA,NÃO REGISTRADO,,CONSTRUÇÃO,SAÚDE,EXECUÇÃO DIRETA,UPA,OBRA,SAÚDE,-6.07889,-37.51389,MESSIAS TARGINO,4188,2407609,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
PAVIMENTAÇÃO ASFÁLTICA DE ACESSO AO BALNEÁRIO MUNICIPAL,353.002.2021,,PREFEITURA MUNICIPAL DE BREJINHO,BREJINHO,CADASTRADA,NÃO REGISTRADO,,PAVIMENTAÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-6.18583,-35.35419,BREJINHO,11577,2401800,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
PAVIMENTAÇÃO ASFÁLTICA DE ACESSO AO BALNEÁRIO MUNICIPAL,353.002.2021,,PREFEITURA MUNICIPAL DE BREJINHO,BREJINHO,CADASTRADA,NÃO REGISTRADO,,PAVIMENTAÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-6.19042,-35.52567,BREJINHO,11577,2401800,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
PAVIMENTAÇÃO ASFÁLTICA DE ACESSO AO BALNEÁRIO MUNICIPAL,353.002.2021,,PREFEITURA MUNICIPAL DE BREJINHO,BREJINHO,CADASTRADA,NÃO REGISTRADO,,PAVIMENTAÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-6.18972,-35.35858,BREJINHO,11577,2401800,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
PAVIMENTAÇÃO ASFÁLTICA DE ACESSO AO BALNEÁRIO MUNICIPAL,353.002.2021,,PREFEITURA MUNICIPAL DE BREJINHO,BREJINHO,CADASTRADA,NÃO REGISTRADO,,PAVIMENTAÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-6.19017,-35.35858,BREJINHO,11577,2401800,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
PAVIMENTAÇÃO ASFÁLTICA DE ACESSO AO BALNEÁRIO MUNICIPAL,353.002.2021,,PREFEITURA MUNICIPAL DE BREJINHO,BREJINHO,CADASTRADA,NÃO REGISTRADO,,PAVIMENTAÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-6.19169,-35.35547,BREJINHO,11577,2401800,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
PAVIMENTAÇÃO ASFÁLTICA DE ACESSO AO BALNEÁRIO MUNICIPAL,353.002.2021,,PREFEITURA MUNICIPAL DE BREJINHO,BREJINHO,CADASTRADA,NÃO REGISTRADO,,PAVIMENTAÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-6.19047,-35.35528,BREJINHO,11577,2401800,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
PAVIMENTAÇÃO ASFÁLTICA NO CENTRO DO MUNICIPIO TENENTE ANANIAS,486.001.2021,,PREFEITURA MUNICIPAL DE TENENTE ANANIAS,TENENTE ANANIAS,CADASTRADA,NÃO REGISTRADO,,PAVIMENTAÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-6.46711,-38.17879,TENENTE ANANIAS,9883,2414100,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PAVIMENTAÇÃO EM PARALELEPÍPEDO DE DIVERSAS RUAS DO BAIRRO ILHA DO BOM JESUS (RUA LUIZA DE MENDONÇA DE SOUZA E TRECHO CENTRAL DA RUA PRAIA DE PONTA DO MEL) NO MUNICÍPIO DE AREIA BRANCA/RN.,336.002.2021,,PREFEITURA MUNICIPAL DE AREIA BRANCA,AREIA BRANCA,INICIADA,NÃO REGISTRADO,,CONSTRUÇÃO,INFRAESTRUTURA E TRANSPORTE,EXECUÇÃO INDIRETA,VIA URBANA PAVIMENTADA,OBRA,ESTRADAS E RODOVIAS,-4.953,-37.12182,AREIA BRANCA,25315,2401107,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DAS OBRAS DE CONSTRUÇÃO DE MURO PARA AMPLIAÇÃO DO CEMITÉRIO EM RUY BARBOSA/RN.,447.001.2021,,PREFEITURA MUNICIPAL DE RUY BARBOSA,RUY BARBOSA,CADASTRADA,NÃO REGISTRADO,,AMPLIAÇÃO,AÇÃO SOCIAL,EXECUÇÃO DIRETA,CEMITÉRIO,OBRA,ASSISTÊNCIA SOCIAL,-5.87952,-35.93392,RUY BARBOSA,3595,2411106,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
REFORMA E AMPLIAÇÃO NA E.M JORNALISTA ERIVAN FRANÇA.,1275.005.2021,,SECRETARIA MUNICIPAL DE EDUCAÇÃO DE NATAL,NATAL,CADASTRADA,NÃO REGISTRADO,,REFORMA E AMPLIAÇÃO,EDUCAÇÃO,EXECUÇÃO INDIRETA,ESCOLA,OBRA,EDUCAÇÃO E CULTURA,-5.76395,-35.26613,NATAL,803739,2408102,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
REFORMA E AMPLIAÇÃO NA E.M JORNALISTA ERIVAN FRANÇA.,1275.005.2021,,SECRETARIA MUNICIPAL DE EDUCAÇÃO DE NATAL,NATAL,CADASTRADA,NÃO REGISTRADO,,REFORMA E AMPLIAÇÃO,EDUCAÇÃO,EXECUÇÃO INDIRETA,ESCOLA,OBRA,EDUCAÇÃO E CULTURA,-5.76361,-35.26716,NATAL,803739,2408102,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇO DE CONTRUÇÃO DE PASSEIOS PÚBLICOS NO DISTRITO DE QUEIMADAS E NO LOTEAMENTO VILLA VERDE, ATENDENDO AS NECESSIDADES DA POPULAÇÃO PARA MELHOR DESEMPENHO EM ATIVIDADES FÍSICAS, MUNICÍPIO DE JOÃO CÂMARA/RN.",395.001.2021,,PREFEITURA MUNICIPAL DE JOÃO CÂMARA,JOÃO CÂMARA,INICIADA,NÃO REGISTRADO,,CONSTRUÇÃO,ESPORTE,EXECUÇÃO INDIRETA,"MANUTENÇÃO (EX: GASODUTOS, ILUMINAÇÃO PÚBLICA, SINALIZAÇÃO VIÁRIA, ETC)",SERVIÇO DE ENGENHARIA,SERVIÇOS DE ENGENHARIA,-5.55317,-35.8233,JOÃO CÂMARA,32227,2405801,2021-07-30 10:33:33,,,0,0,0,,0,0,,0
